algorithm,build,candidates,count,dataset,distcomps,epsilon,indexsize,k-nn,k-nn-median,k-nn-perc-25,k-nn-perc-5,k-nn-perc-75,k-nn-perc-95,k-nn-std,largeepsilon,parameters,qps,qps-median,qps-perc-25,qps-perc-5,qps-perc-75,qps-perc-95,queriessize,rel
hnsw(faiss),229.69763898849487,1.0,1,difficult-annoy-angular,6097.434,0.0,1321080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 8})",347.4961796165199,355.4796142578125,346.1503601074219,336.88518371582035,357.7841796875,359.96429443359375,3801.710860412568,1.7434376133998384
hnsw(faiss),7804.277806043625,1.0,1,difficult-annoy-angular,133525.73,0.0,2022492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 96})",19.49780576968753,19.5340576171875,19.435079097747803,19.28087615966797,19.590213775634766,19.6440899848938,103729.21055272222,1.6883133953139404
hnsw(faiss),747.5321691036224,1.0,1,difficult-annoy-angular,18623.036,0.0,1445332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 24})",150.52466730816246,151.09164428710938,150.62501525878906,143.84152755737307,151.53379821777344,152.25550003051757,9601.96109944582,1.7110598090523796
hnsw(faiss),7804.277806043625,1.0,1,difficult-annoy-angular,37007.797,0.0,2022492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 96})",73.5519958516016,73.8414306640625,73.56105041503906,71.77093391418457,74.04674530029297,74.28957290649414,27497.445536088195,1.6960328310637554
hnsw(faiss),7804.277806043625,1.0,1,difficult-annoy-angular,7832.219,0.0,2022492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 96})",341.0280510610619,352.2257385253906,348.68267822265625,317.31165771484376,354.7279968261719,358.181396484375,5930.573727607727,1.7234209016094675
hnsw(faiss),3289.9226121902466,1.0,1,difficult-annoy-angular,92726.225,0.0,1759620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 64})",28.141590534184527,28.21673011779785,27.992117881774902,27.80905923843384,28.300548553466797,28.37367267608643,62527.382660284646,1.6898785575509683
hnsw(faiss),1209.9790828227997,1.0,1,difficult-annoy-angular,27813.748,0.0,1540412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 36})",86.23697402173197,86.61801147460938,86.13241577148438,83.86956176757812,86.91957092285156,87.2287742614746,17862.54698143527,1.7026859784601562
hnsw(faiss),373.0496301651001,1.0,1,difficult-annoy-angular,4689.704,0.0,1350716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 12})",517.4457401903829,521.0963134765625,518.1351318359375,502.79056549072266,523.0457763671875,526.3275146484375,2610.3529222272336,1.7478587692492404
hnsw(faiss),3289.9226121902466,1.0,1,difficult-annoy-angular,5270.916,0.0,1759620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 64})",508.8305936635122,511.0953674316406,506.51258087158203,497.23824615478514,515.2074584960938,520.2592681884765,3458.1647053314373,1.732965753763642
hnsw(faiss),2528.5605890750885,1.0,1,difficult-annoy-angular,18833.146,0.0,1634584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 48})",160.2662408589709,162.23037719726562,160.3618392944336,152.18671493530275,163.18344116210938,164.01426773071287,10199.178512200713,1.7065832173783448
hnsw(faiss),747.5321691036224,1.0,1,difficult-annoy-angular,3875.573,0.0,1445332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 24})",744.0379578315226,748.9828491210938,743.5390625,733.1417846679688,753.016845703125,759.8377075195312,1942.5514313979072,1.7452178239333398
hnsw(faiss),117.99568891525269,1.0,1,difficult-annoy-angular,2924.434,0.0,1290116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 4})",625.9544396429949,636.1753540039062,624.9894409179688,579.4424316406249,645.5755004882812,655.3599853515625,2061.0381815261208,1.7727631755614224
hnsw(faiss),229.69763898849487,1.0,1,difficult-annoy-angular,3088.55,0.0,1321080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 8})",713.8124332613532,717.3428955078125,712.8320922851562,699.2837524414062,721.4144897460938,726.789794921875,1850.7382870372385,1.7603699049888475
hnsw(faiss),3289.9226121902466,1.0,1,difficult-annoy-angular,1484.643,0.0,1759620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 64})",1760.3001328432188,1785.570068359375,1730.323486328125,1633.8051452636719,1841.42431640625,1961.0551452636719,999.6136267727708,1.7678101007640226
hnsw(faiss),117.99568891525269,1.0,1,difficult-annoy-angular,117.387,0.0,1290116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"faiss ({u'efConstruction': 500, u'M': 4})",9666.388442107289,9986.4384765625,9709.037109375,8272.7890625,10205.119140625,10645.44140625,133.46411720640026,1.8796820635484963
